Time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
4.1060500,-0.0060339,0.0026462,-0.0007028,0.0003493,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1061000,-0.0056791,0.0021783,0.0001476,0.0004942,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1061500,-0.0048210,0.0031348,0.0005455,-0.0000686,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1062000,-0.0035700,0.0033289,0.0008851,0.0001067,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1062500,-0.0028756,0.0036990,0.0005773,0.0007908,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1063000,-0.0021146,0.0034938,0.0009661,0.0000922,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1063500,-0.0019177,0.0029795,0.0014769,0.0005531,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1064000,-0.0020993,0.0033690,0.0022913,-0.0000270,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1064500,-0.0021679,0.0033455,0.0023544,0.0006640,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1065000,-0.0024479,0.0033399,0.0019157,0.0010001,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1065500,-0.0022033,0.0033379,0.0019503,-0.0001358,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1066000,-0.0021631,0.0026801,0.0014492,0.0004657,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1066500,-0.0012961,0.0027238,0.0010556,0.0005995,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1067000,-0.0005295,0.0028610,0.0011297,0.0012233,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1067500,0.0007735,0.0029761,0.0011561,0.0020522,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1068000,0.0016641,0.0028804,0.0012261,0.0020744,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1068500,0.0026864,0.0025540,0.0011339,0.0020397,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1069000,0.0041633,0.0030731,0.0007582,0.0025665,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1069500,0.0054129,0.0032630,0.0008795,0.0017112,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1070000,0.0060090,0.0034695,0.0012330,0.0027162,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1070500,0.0067222,0.0032041,0.0017542,0.0025096,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1071000,0.0072621,0.0027682,0.0018166,0.0016918,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1071500,0.0076100,0.0025152,0.0022899,0.0022033,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1072000,0.0075691,0.0024265,0.0021520,0.0017070,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1072500,0.0075268,0.0027460,0.0025034,0.0025588,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1073000,0.0078332,0.0032096,0.0033614,0.0020058,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1073500,0.0075920,0.0028388,0.0040697,0.0017528,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1074000,0.0070049,0.0033427,0.0039596,0.0016280,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1074500,0.0068365,0.0033538,0.0035201,0.0018769,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1075000,0.0071151,0.0036532,0.0033476,0.0017923,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1075500,0.0072898,0.0039117,0.0034550,0.0017244,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1076000,0.0075386,0.0036373,0.0037398,0.0019981,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1076500,0.0072517,0.0040420,0.0033517,0.0025006,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1077000,0.0069280,0.0040704,0.0030814,0.0025554,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1077500,0.0060700,0.0048384,0.0025519,0.0025789,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1078000,0.0052230,0.0049375,0.0028596,0.0027834,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1078500,0.0037828,0.0046776,0.0032651,0.0023599,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1079000,0.0011775,0.0045112,0.0032325,0.0022996,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1079500,0.0004158,0.0040032,0.0028978,0.0023634,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1080000,-0.0001844,0.0039706,0.0021527,0.0024334,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1080500,-0.0006758,0.0036324,0.0019545,0.0020016,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1081000,-0.0012018,0.0031334,0.0020279,0.0022948,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1081500,-0.0025048,0.0028305,0.0027626,0.0024043,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1082000,-0.0027127,0.0025436,0.0023073,0.0026829,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1082500,-0.0034370,0.0029761,0.0016883,0.0027051,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1083000,-0.0040760,0.0029220,0.0014873,0.0024687,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1083500,-0.0045556,0.0029962,0.0014922,0.0025200,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1084000,-0.0048065,0.0028749,0.0023447,0.0025623,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1084500,-0.0040351,0.0022151,0.0022712,0.0023225,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1085000,-0.0036920,0.0026905,0.0019344,0.0024175,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1085500,-0.0030038,0.0023662,0.0014769,0.0023641,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1086000,-0.0028375,0.0026399,0.0013460,0.0017008,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1086500,-0.0025096,0.0030156,0.0021721,0.0016433,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1087000,-0.0023107,0.0030142,0.0025408,0.0008261,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1087500,-0.0019552,0.0035943,0.0026046,0.0010140,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1088000,-0.0012254,0.0036740,0.0023877,0.0010999,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1088500,-0.0000769,0.0036948,0.0021208,0.0003410,-0.0000000,-0.0000000,-0.0000000,-0.0000000
4.1089000,0.0018367,0.0034779,0.0023592,0.0011484,-0.0000000,-0.0000000,-0.0000000,-0.0000000
